"공사규모별(1)","공사기간별(1)",2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018
"공사규모별(1)","공사기간별(1)",전국,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주특별자치도
"공사규모별(1)","공사기간별(1)",건수 (건),건수 (건),건수 (건),건수 (건),건수 (건),건수 (건),건수 (건),건수 (건),건수 (건),건수 (건),건수 (건),건수 (건),건수 (건),건수 (건),건수 (건),건수 (건),건수 (건),건수 (건)
"1,500만~2,000만원 미만","15개월~18개월미만",242,28,7,5,2,1,4,1,-,31,10,7,-,12,98,27,8,1
"1,500만~2,000만원 미만","18개월~21개월미만",69,10,1,-,-,1,-,1,-,16,2,3,-,1,22,10,1,1
"1,500만~2,000만원 미만","21개월~24개월미만",24,5,-,-,-,1,-,-,-,10,-,1,1,-,4,-,1,1
"1,500만~2,000만원 미만","24개월이상",39,12,1,-,-,-,-,1,-,23,1,1,-,-,-,-,-,-
"2,000만~5,000만원 미만","계",112724,20241,5314,4067,3863,3245,2756,2768,546,20792,5423,5026,5977,6048,8209,9036,6829,2584
"2,000만~5,000만원 미만","1개월미만",31862,9098,1724,1210,1222,963,698,947,149,6160,972,881,1241,1160,1488,1830,1599,520
"2,000만~5,000만원 미만","1개월~3개월미만",58342,7754,2579,2127,1973,1697,1523,1375,308,10412,3378,2969,3721,3632,4649,4849,4009,1387
"2,000만~5,000만원 미만","3개월~6개월미만",12718,1494,615,448,342,363,330,278,62,2033,652,764,623,808,1193,1538,784,391
"2,000만~5,000만원 미만","6개월~9개월미만",3710,518,148,108,136,82,77,74,11,796,165,204,204,231,304,378,180,94
"2,000만~5,000만원 미만","9개월~12개월미만",1921,418,92,51,84,53,39,52,4,452,53,92,87,100,99,110,97,38
"2,000만~5,000만원 미만","12개월~15개월미만",2815,590,108,77,72,62,69,22,10,579,170,78,86,93,334,211,124,130
"2,000만~5,000만원 미만","15개월~18개월미만",704,157,29,28,15,10,16,8,1,125,26,27,9,19,101,91,24,18
"2,000만~5,000만원 미만","18개월~21개월미만",253,67,15,10,7,3,3,5,-,71,5,7,1,2,30,18,6,3
"2,000만~5,000만원 미만","21개월~24개월미만",176,59,4,4,8,8,1,4,1,60,2,-,2,2,7,8,3,3
"2,000만~5,000만원 미만","24개월이상",223,86,-,4,4,4,-,3,-,104,-,4,3,1,4,3,3,-
"5,000만~1억원 미만","계",62177,12234,3221,2406,2113,1806,1799,1632,225,12699,2521,2588,2914,2986,3910,4152,3674,1297
"5,000만~1억원 미만","1개월미만",10538,3651,551,389,350,300,271,325,26,1883,244,278,371,347,509,528,393,122
"5,000만~1억원 미만","1개월~3개월미만",29368,5310,1515,1231,1029,942,913,841,127,5625,1307,1254,1507,1534,1993,1805,1883,552
